timestep,alpha,beta,K,C,alignment_cost,path_cost,collision_cost,control_cost,total_cost,collisions
0,0.0014384407826138947,0.4032334034801653,0.009181499439318161,0.6924625574082083,0.003986361282849956,1.0837412029695805,0.0,0.6992203097069134,1.7869478739593438,0
1,0.001447730926052829,0.4032334034801653,0.01495569510246545,0.7,0.003986252161272295,1.0687412034579844,0.0,0.7586142797496056,3.6182896093282064,0
2,0.001,0.4032334034801653,0.022096373144787008,0.7,0.0038380548054201633,1.0419306860381554,0.0,0.5918809415580385,5.25593929172982,2
3,0.001,0.4032334034801653,0.03264640679076002,0.7,0.003838049375506208,1.0269306860472849,0.0,0.5834808471307639,6.870188874283375,2
4,0.001,0.4032334034801653,0.04823361143316063,0.7,0.0038380397401333714,1.0119306860676105,0.0,0.5750806869125902,8.46103828700371,2
5,0.001,0.4032334034801653,0.07126301178552956,0.7,0.003838025412755734,0.9969306861128177,0.0,0.5666804511997587,10.028487449729042,2
6,0.001,0.4032334034801653,0.10528792470333481,0.7,0.003838004134223063,0.9819306862132561,0.0,0.5582801049895987,11.57253624506612,2
7,0.001,0.4032334034801653,0.155558217518195,0.7,0.003837972604758703,0.9669306864360154,0.0,0.5498795979573069,13.0931845020642,2
8,0.001,0.4032334034801653,0.22983033529838037,0.7,0.003837926048316346,0.9519306869287325,0.0,0.5414788586054514,14.590431973646702,2
9,0.001,0.4032334034801653,0.33956408003445776,0.7,0.0038378576619874,0.9369306880140593,0.0,0.5330777874224566,16.064278306745205,2
10,0.001,0.4032334034801653,0.4471410492175386,0.7,0.0038378224228239354,0.921930690052172,0.0,0.5246765856310175,17.514723404851217,2
11,0.001,0.4032334034801653,0.588799374406953,0.7,0.0038377466130009503,0.9069306935856402,0.0,0.5162752376107568,18.941767082660615,2
12,0.001,0.4032334034801653,0.7753363371774746,0.7,0.0038376487183746223,0.8919306996905494,0.0,0.5078735227706453,20.345408953840185,2
13,0.001,0.4032334034801653,0.8,0.7,0.0038377905150237066,0.8769307076498137,0.0,0.49947257289327623,21.725650024898297,2
14,0.001,0.4032334034801653,0.8,0.7,0.0038378001939241985,0.8619307157093289,0.0,0.4910726220970035,23.082491162898553,2
15,0.001,0.4032334034801653,0.8,0.7,0.0038378000458808847,0.8469307239752196,0.0,0.48267261774341824,24.41593230466307,2
16,0.001,0.4032334034801653,0.8,0.7,0.0038378000596187346,0.8319307324454697,0.0,0.47427261814437083,25.725973455312527,2
17,0.001,0.4032334034801653,0.8,0.7,0.0038378000583248126,0.8169307411287074,0.0,0.46587261810699054,27.012614614606548,2
18,0.001,0.4032334034801653,0.8,0.7,0.0038378000584481983,0.801930750032984,0.0,0.4574726181105187,28.2758557828085,2
19,0.001,0.4032334034801653,0.8,0.7,0.003837800058436282,0.7869626904847961,0.0,0.44907261811018145,29.51572889146191,2
20,0.001,0.4032334034801653,0.8,0.7,0.0038378000584374573,0.7732847792526619,0.0,0.4406904996482564,30.733541970421268,2
21,0.001,0.4032334034801653,0.8,0.7,0.003837800058437288,0.7599939126918498,0.0,0.43303086410966585,31.93040454728122,2
22,0.001,0.4032334034801653,0.8,0.7,0.0038378000584367838,0.7468191597160865,0.0,0.42558797344808996,33.10664948050383,2
23,0.001,0.4032334034801653,0.8,0.7,0.003837800058438359,0.7336792410070281,0.0,0.418210106249617,34.26237662781892,2
24,0.001,0.4032334034801653,0.8,0.7,0.0038378000584317236,0.7205497727771282,0.0,0.4108517460900752,35.39761594674455,2
25,0.001,0.4032334034801653,0.8,0.7,0.003837800058447848,0.7074234398985266,0.0,0.40349923804221266,36.512376424743735,2
26,0.001,0.4032334034801653,0.8,0.7,0.0038378000583825624,0.6942980478417506,0.0,0.3961484856278538,37.60666075827172,2
27,0.001,0.4032334034801653,0.8,0.7,0.004025595409843362,0.6812193547462718,0.0,0.3889452965053709,38.68085100493321,2
28,0.001,0.4032334034801653,0.8,0.7,0.004024377730187545,0.6680754908175252,0.0,0.3816232086353854,39.73457408211631,2
29,0.001,0.4032334034801653,0.8,0.7,0.004023852981839829,0.6549106825851752,0.0,0.374264738504894,40.76777335618822,2
30,0.001,0.4032334034801653,0.8,0.7,0.00402340157936468,0.6417382146554161,0.0,0.3668946674582915,41.78042963988129,2
31,0.001,0.4032334034801653,0.8,0.7,0.004022550136871018,0.6285620980482922,0.0,0.3595204471533933,42.77253473521985,2
32,0.001,0.4032334034801653,0.8,0.7,0.004020983313431074,0.6153835725259805,0.0,0.35214433838570836,43.74408362944497,2
33,0.001,0.4032334034801653,0.8,0.7,0.004018466853727086,0.6022030595490708,0.0,0.34476705222832876,44.6950722080761,2
34,0.001,0.4032334034801653,0.8,0.7,0.004014784422171561,0.5890207510195858,0.0,0.3373888441763499,45.62549658769421,2
35,0.001,0.4032334034801653,0.8,0.7,0.004009698511827773,0.5758367895394436,0.0,0.33000984443248654,46.535352920177964,2
36,0.0010036574957854442,0.4032334034801653,0.8,0.7,0.004002924264994288,0.5626513271757664,0.0,0.32263015965949166,47.42463733127821,2
37,0.0010100511919431793,0.4032334034801653,0.8,0.7,0.003994105669480825,0.5494645492424456,0.0,0.3152499069996991,48.29334589318984,2
38,0.0010164105407402212,0.4032334034801653,0.8,0.7,0.003982786585739208,0.5362766896871292,0.0,0.30786922896160446,49.14147459842431,2
39,0.0010227338710156381,0.4032334034801653,0.8,0.7,0.003968369610719529,0.5230880470785947,0.0,0.30048830432638535,49.96901931944001,2
40,0.0010290193909672618,0.4032334034801653,0.8,0.7,0.0039500531570761995,0.5098990055921576,0.0,0.2931073605765896,50.77597573876583,2
41,0.0010352651766974603,0.4032334034801653,0.8,0.7,0.0039267299974205866,0.49671006529753026,0.0,0.28572669117805677,51.56233922523884,2
42,0.0010414691594090029,0.4032334034801653,0.8,0.7,0.0038968145268667357,0.48352188861615525,0.0,0.2783466818518033,52.32810461023366,2
43,0.0010476291110485497,0.4032334034801653,0.8,0.7,0.0038579287860847156,0.4703353762365545,0.0,0.2709678533918725,53.07326576864817,2
44,0.0010537426281476733,0.4032334034801653,0.8,0.7,0.0038062821355301967,0.4571518013393918,0.0,0.2635909372742811,53.79781478939737,2
45,0.0010598071135395472,0.4032334034801653,0.8,0.7,0.0037353015287053155,0.4439730731738191,0.0,0.2562170239815102,54.501740188081406,2
46,0.001065819755508947,0.4032334034801653,0.8,0.7,0.003632092547542008,0.4308023376557817,0.0,0.24884790065926843,55.185022518943995,2
47,0.001071777503699661,0.4032334034801653,0.8,0.7,0.0034657838571902338,0.41764570545674307,0.0,0.241487021663319,55.84762102992125,2
48,0.001077677040553658,0.4032334034801653,0.8,0.7,0.0055637225310686544,0.41041494635540465,0.0,0.24591309527702046,56.50951279408474,2
49,0.0010835147453450867,0.4032334034801653,0.8,0.7,0.004414920589650675,0.3958477652051374,0.0,0.23006809043843773,57.139843570317964,2
50,0.0010892868457835175,0.4032334034801653,0.8,0.7,0.005699573848567224,0.38871204750468547,0.0,0.23426824798814327,57.76852343965936,2
51,0.0010949890945789967,0.4032334034801653,0.8,0.7,0.004177118784775113,0.3742362830397239,0.0,0.21830543451750473,58.36524227600137,2
52,0.0011006170211861226,0.4032334034801653,0.8,0.7,0.00568563756857866,0.3671127140884684,0.0,0.22224488293770212,58.960285510596115,2
53,0.0011061655322910618,0.4032334034801653,0.8,0.7,0.003998412976825019,0.3531190826117137,0.0,0.20630150628222446,59.52370451246688,2
54,0.0011116292893614418,0.4032334034801653,0.8,0.7,0.003995367394970316,0.34533638015606916,0.0,0.2084567573148792,60.0814930173328,2
55,0.0011170021500291017,0.4032334034801653,0.8,0.7,0.004721877851613192,0.3341145967728095,0.0,0.19627648274907486,60.616605974706296,2
56,0.0011222774066548926,0.4032334034801653,0.8,0.7,0.005996159924398253,0.3252691198798081,0.0,0.19908848562039835,61.1469597401309,2
57,0.0011274478159851668,0.4032334034801653,0.8,0.7,0.004994599589869616,0.3162373363544057,0.0,0.1868890695128144,61.655080745587995,2
58,0.001132505644673145,0.4032334034801653,0.8,0.7,0.006635316358124529,0.306766398171463,0.0,0.18726217709528997,62.15574463721287,2
59,0.0011374421478038486,0.4032334034801653,0.8,0.7,0.004912237755960261,0.29395376818052477,0.0,0.17282254755639037,62.627433190705744,2
60,0.001142248092292871,0.4032334034801653,0.8,0.7,0.004251213083083106,0.2818533466068091,0.0,0.16571030020760455,63.07924805060324,2
61,0.001146913075589254,0.4032334034801653,0.8,0.7,0.0037462233430588885,0.27003078254511287,0.0,0.1590012481297911,63.5120263046212,2
62,0.001151425492018432,0.4032334034801653,0.8,0.7,0.003304693453263794,0.25836621007814475,0.0,0.1524512249345829,63.92614843308719,2
63,0.0011557737934492591,0.4032334034801653,0.8,0.7,0.0038188780869481257,0.24704016605184187,0.0,0.1460564759599564,64.32306395318594,2
64,0.00115995099627839,0.4032334034801653,0.8,0.7,0.003363683545649364,0.23902939587417196,0.0,0.14272330344222298,64.70818033604797,2
65,0.0011639485584805324,0.4032334034801653,0.8,0.7,0.004882165615281339,0.23047895706113525,0.0,0.14890934051552138,65.09245079923991,2
66,0.0011677576158413655,0.4032334034801653,0.8,0.7,0.005568312693728627,0.22389099286071193,0.0,0.14486926113366858,65.46677936592802,2
67,0.0011713686793860896,0.4032334034801653,0.8,0.7,0.005790150198040484,0.21587065970692773,0.0,0.14126889262367456,65.82970906845667,2
68,0.0011747716535614459,0.4032334034801653,0.8,0.7,0.005609879403900089,0.2089613166597255,0.0,0.1358906149510914,66.18017087947138,2
69,0.0011779557824362953,0.4032334034801653,0.8,0.7,0.005622081528282509,0.20100384449868203,0.0,0.13223219708121556,66.51902900257956,2
70,0.001180909608798499,0.4032334034801653,0.8,0.7,0.005380461714289714,0.19390670675892546,0.0,0.12690806688983,66.8452242379426,2
71,0.0011836209270273642,0.4032334034801653,0.8,0.7,0.005404964576421758,0.18596822469215835,0.0,0.12324328640843481,67.15984071361962,2
72,0.001186076733796558,0.4032334034801653,0.8,0.7,0.005176178702180911,0.17876349966232538,0.0,0.11798587679632652,67.46176626878045,2
73,0.001188263175246956,0.4032334034801653,0.8,0.7,0.005225744929494757,0.17084484609907033,0.0,0.1143271183068939,67.75216397811592,2
74,0.0011901654904282002,0.4032334034801653,0.8,0.7,0.005019964718814222,0.16358649978230466,0.0,0.10913959009094881,68.02991003270799,2
75,0.0011917679503728746,0.4032334034801653,0.8,0.7,0.005094749505918779,0.1557021692418472,0.0,0.10549751796142333,68.29620446941718,2
76,0.001193053792085252,0.4032334034801653,0.8,0.7,0.004886701604918397,0.14865028331943525,0.0,0.09243805082726757,68.5421795051688,2
77,0.0011940051465145086,0.4032334034801653,0.8,0.7,0.005214759711823605,0.14257507101985384,0.0,0.09313364003911195,68.7831029759396,2
78,0.0011946029593599868,0.4032334034801653,0.8,0.7,0.008506364359989136,0.13641437684303725,0.0,0.09644706022473262,69.02447077736736,2
79,0.001194826903290783,0.4032334034801653,0.8,0.7,0.011930659757771593,0.1323511450530214,0.0,0.10283834189735201,69.2715909240755,2
80,0.0011946552798638398,0.4032334034801653,0.8,0.7,0.008719608327789112,0.12748346714703046,0.0,0.09627687637973754,69.50407087593005,2
81,0.0011940649090947933,0.4032334034801653,0.8,0.7,0.012589091159169011,0.12344655985316422,0.0,0.09899324674395012,69.73909977368633,2
82,0.0011930310042813515,0.4032334034801653,0.8,0.7,0.00875047005639569,0.11924357490107394,0.0,0.09128173796606187,69.95837555660987,2
83,0.0011915270293091904,0.4032334034801653,0.8,0.7,0.013344959316072956,0.1152402244559557,0.0,0.09509733807488367,70.18205807845678,2
84,0.0011895245352984225,0.4032334034801653,0.8,0.7,0.008988509472689263,0.11158785400178878,0.0,0.08675234881412075,70.38938679074538,2
85,0.001186992973091597,0.4032334034801653,0.8,0.7,0.014066910386383436,0.10754757415147667,0.0,0.09171258684911124,70.60271386213235,2
86,0.0011838994777638577,0.4032334034801653,0.8,0.7,0.009324385150711883,0.10437590990539856,0.0,0.0827012080366374,70.79911536522509,2
87,0.001180208621080209,0.4032334034801653,0.8,0.7,0.014502272911345218,0.10019665550058149,0.0,0.08854669404820432,71.00236098768522,2
88,0.0011758821276715418,0.4032334034801653,0.8,0.7,0.009593180179441996,0.09737550889611275,0.0,0.07890639120815603,71.18823606796893,2
89,0.0011708785507013979,0.4032334034801653,0.8,0.7,0.013731119839770446,0.09284292125843219,0.0,0.08386734801908151,71.37867745708621,2
90,0.0011929746559135727,0.4032334034801653,0.8,0.7,0.007162852044753476,0.0885168130750513,0.0,0.07284271142648512,71.5471998336325,2
91,0.0011686716100263604,0.4032334034801653,0.8,0.7,0.008407024484796318,0.08212686393017206,0.0,0.07328349646800969,71.71101721851548,2
92,0.0012010154009682865,0.4032334034801653,0.8,0.7,0.005055886458455564,0.07778041119376475,0.0,0.0611462789681253,71.85499979513583,2
93,0.0011471762082266145,0.4032334034801653,0.8,0.7,0.0072459259496187355,0.07144748999777473,0.0,0.06495676826905789,71.99864997935228,2
94,0.0011541005679679807,0.4032334034801653,0.8,0.7,0.006043952709930258,0.06767613660454186,0.0,0.05587215751932559,72.12824222618607,2
95,0.0011060326996744233,0.4032334034801653,0.8,0.7,0.008333898385811387,0.06191664020219434,0.0,0.06154972850538041,72.26004249327946,2
96,0.0011116289417130382,0.4032334034801653,0.8,0.7,0.006987527218782236,0.05852300387738405,0.0,0.05279364100467635,72.3783466653803,2
97,0.0010776321314991933,0.4032334034801653,0.8,0.7,0.009111324596734508,0.05334691759449836,0.0,0.058062763174969965,72.4988676707465,2
98,0.0012420926283954906,0.4032334034801653,0.8,0.7,0.008811135879481959,0.05077813882963436,0.0,0.05153307267324792,72.60999001812887,2
99,0.001226821725892258,0.4032334034801653,0.8,0.7,0.010703514898485375,0.046027826510798016,0.0,0.05604842201168031,72.72276978154983,2
100,0.0014348408179429189,0.4032334034801653,0.8,0.7,0.008890173867759756,0.04453415871864491,0.0,0.05210085948671367,72.82829497362295,2
101,0.0014266913538520964,0.4032334034801653,0.8,0.7,0.014658634922000178,0.04031360198271661,0.0,0.05642722932182265,72.93969443984949,2
102,0.001341088262422862,0.4032334034801653,0.8,0.7,0.009489098258676963,0.03942447301771123,0.0,0.05392267193855035,73.04253068306443,2
103,0.0013471447965044928,0.4032334034801653,0.8,0.7,0.017019847850851994,0.03534691250769387,0.0,0.054054932848318006,73.1489523762713,2
104,0.0011834729955771863,0.4032334034801653,0.8,0.7,0.007852426979770608,0.03474494367217244,0.0,0.0507711403960634,73.24232088731931,2
105,0.0011834864794057949,0.4032334034801653,0.8,0.7,0.013820725819372957,0.030267505372089967,0.0,0.046323443609416676,73.33273256212019,2
106,0.001167979245389677,0.4032334034801653,0.8,0.7,0.010029806061774352,0.03089770328257918,0.0,0.047472677396020554,73.42113274886056,2
107,0.0010787606877806905,0.4032334034801653,0.8,0.7,0.01406223313223409,0.0278652154268626,0.0,0.046858434474450074,73.50991863189411,2
108,0.0011829776632218923,0.4032334034801653,0.8,0.7,0.011896316950766032,0.028002716653442356,0.0,0.04738761993039166,73.59720528542871,2
109,0.0011383602727463298,0.4032334034801653,0.8,0.7,0.014457296482274349,0.026533300145663047,0.0,0.04752163909936627,73.68571752115602,2
110,0.001191205228988116,0.4032334034801653,0.8,0.7,0.013305510657681534,0.025827402357858034,0.0,0.04772144591295554,73.77257188008451,2
111,0.0011991111547407895,0.4032334034801653,0.8,0.7,0.014664485201869035,0.025051023727422208,0.0,0.047958322439500205,73.8602457114533,2
112,0.001196160468016077,0.4032334034801653,0.8,0.7,0.014440633906551238,0.023870470653334475,0.0,0.047786589979925895,73.94634340599312,2
113,0.0012485109053158706,0.4032334034801653,0.8,0.7,0.014916063203847977,0.02350625925422322,0.0,0.04829617770362497,74.03306190615481,2
114,0.0012009249805734709,0.4032334034801653,0.8,0.7,0.01547134025412437,0.022036185890962075,0.0,0.04774572877534168,74.11831516107524,2
115,0.0012771321339466054,0.4032334034801653,0.8,0.7,0.014647218147374809,0.022139196052237128,0.0,0.046907155562769226,74.20200873083762,2
116,0.0012131903502549096,0.4032334034801653,0.8,0.7,0.01661323724977559,0.02067166425760685,0.0,0.0474069392840353,74.28670057162904,2
117,0.0012964064514820988,0.4032334034801653,0.8,0.7,0.015032124009463224,0.021130385260323056,0.0,0.047285192963893045,74.37014827386272,2
118,0.001224744183179527,0.4032334034801653,0.8,0.7,0.017588839605688324,0.020252801914377245,0.0,0.047244458579232144,74.45523437396203,2
119,0.0012968956041915591,0.4032334034801653,0.8,0.7,0.015440345217562271,0.020503610572765164,0.0,0.047590424380959034,74.53876875413332,2
120,0.0012379963688389404,0.4032334034801653,0.8,0.7,0.018282496642388398,0.020324415388024784,0.0,0.047121084031238596,74.62449675019496,2
