group1,group2,meandiff,p-adj,lower,upper,reject
10,14,-901.0,0.996,-8337.4854,6535.4854,False
10,15,5499.4,0.2154,-1937.0854,12935.8854,False
10,16,6362.4,0.1167,-1074.0854,13798.8854,False
10,20,326.0,0.9999,-7110.4854,7762.4854,False
14,15,6400.4,0.1134,-1036.0854,13836.8854,False
14,16,7263.4,0.0576,-173.0854,14699.8854,False
14,20,1227.0,0.987,-6209.4854,8663.4854,False
15,16,863.0,0.9966,-6573.4854,8299.4854,False
15,20,-5173.4,0.2661,-12609.8854,2263.0854,False
16,20,-6036.4,0.1483,-13472.8854,1400.0854,False
