Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
0,0.71020037,0.0,0.00942824,0.00942824,0.042483944858370426,0.3582625809402929,0.0,0.023505697155232506,0.4242522229538958,0
1,0.71020514,0.0,0.00942824,0.00942824,5.040580023662613e-06,0.35242735315270673,0.0,0.0031796216425720876,0.7798642383291983,0
2,0.71020573,0.0,0.00942824,0.00942824,8.737355891324488e-10,0.34645584600336266,0.0,0.0032332510162861178,1.1295533362225827,0
3,0.710206,0.0,0.00942824,0.00942824,7.641748466507962e-09,0.34046751165343614,0.0,0.003173133697674288,1.4731939892154415,0
4,0.710206,0.0,0.00942824,0.00942824,6.631033320861685e-09,0.33445777727042647,0.0,0.003116190463233908,1.8107679635801353,0
5,0.710206,0.0,0.00942824,0.00942824,7.031889121890521e-09,0.3284242269622363,0.0,0.0030590399380092015,2.1422512375122698,0
6,0.710206,0.0,0.00942824,0.00942824,7.314230033755634e-09,0.32236428507697545,0.0,0.003001664269333098,2.4676171941728082,0
7,0.710206,0.0,0.00942824,0.00942824,7.635948319290302e-09,0.31627519799667897,0.0,0.002944033351604286,2.7868364331570397,0
8,0.710206,0.0,0.00942824,0.00942824,7.982866642785426e-09,0.3101540119299382,0.0,0.0028861198620294026,3.099876572931874,0
9,0.710206,0.0,0.00942824,0.00942824,8.36013230309011e-09,0.30399755044120863,0.0,0.002827893935300767,3.406702025668516,0
10,0.710206,0.0,0.00942824,0.00942824,8.771342933829685e-09,0.2978023883724258,0.0,0.0027693234372378256,3.7072737462495224,0
11,0.710206,0.0,0.00942824,0.00942824,9.220960756808382e-09,0.2915648218095285,0.0,0.00271037362318805,4.001548950903199,0
12,0.710206,0.0,0.00942824,0.00942824,9.714190928770744e-09,0.2852808332945124,0.0,0.0026510068200852254,4.2894808007319885,0
13,0.7102059,0.0,0.00942824,0.00942824,1.0257176437672661e-08,0.27894605134003714,0.0,0.0025911820465271194,4.571018044375729,0
14,0.7102059,0.0,0.00942824,0.00942824,1.0804763298712934e-08,0.27255570458671774,0.0,0.0025308529758615757,4.846104612743072,0
15,0.710206,0.0,0.00942824,0.00942824,1.147423410232337e-08,0.26610456118292136,0.0,0.0024699736914323522,5.11467915909166,0
16,0.7102059,0.0,0.00942824,0.00942824,1.2210048568271013e-08,0.259586868112257,0.0,0.002408488841075664,5.376674528255041,0
17,0.7102059,0.0,0.00942824,0.00942824,1.3035723119764615e-08,0.2529962707746226,0.0,0.0023463388519946345,5.632017150917381,0
18,0.710206,0.0,0.00942824,0.00942824,1.4020978706863233e-08,0.24632571663565442,0.0,0.0022834603635717883,5.880626341937586,0
19,0.710206,0.0,0.00942824,0.00942824,1.505419631918584e-08,0.23964448352124182,0.0,0.0022204973477504613,6.122491337860775,0
