Episode 1, Reward: -2424618.5
Episode 2, Reward: -347613.5625
Episode 3, Reward: -129451.1875
Episode 4, Reward: -60121.75
Episode 5, Reward: -11194.0927734375
Episode 6, Reward: -4286.20654296875
Episode 7, Reward: -1297.4539794921875
Episode 8, Reward: -1867.5096435546875
Episode 9, Reward: -57.97434616088867
Episode 10, Reward: 1167.23486328125
Episode 11, Reward: -608.74072265625
Episode 12, Reward: -1221.6986083984375
Episode 13, Reward: 585.5584716796875
Episode 14, Reward: -45.765106201171875
Episode 15, Reward: -1211.86669921875
Episode 16, Reward: -629.7387084960938
Episode 17, Reward: -647.07373046875
Episode 18, Reward: 1150.296630859375
Episode 19, Reward: -637.7888793945312
Episode 20, Reward: 570.5143432617188
Episode 21, Reward: 1196.47412109375
Episode 22, Reward: 615.4758911132812
Episode 23, Reward: 1181.0673828125
Episode 24, Reward: 1246.8489990234375
Episode 25, Reward: 1234.8941650390625
Episode 26, Reward: 1225.7965087890625
Episode 27, Reward: 1182.743896484375
Episode 28, Reward: 1201.515380859375
Episode 29, Reward: 53.05380630493164
Episode 30, Reward: 1272.8013916015625
Episode 31, Reward: 1216.9259033203125
Episode 32, Reward: 1234.299072265625
Episode 33, Reward: 1319.713134765625
Episode 34, Reward: 1308.1815185546875
Episode 35, Reward: 1336.8895263671875
Episode 36, Reward: 1336.6768798828125
Episode 37, Reward: 1459.730712890625
Episode 38, Reward: 1475.7606201171875
Episode 39, Reward: 1428.2901611328125
Episode 40, Reward: 1440.2431640625
Episode 41, Reward: 1415.474609375
Episode 42, Reward: 1467.585205078125
Episode 43, Reward: 1438.3951416015625
Episode 44, Reward: 1451.1109619140625
Episode 45, Reward: 1496.1416015625
Episode 46, Reward: 1450.08984375
Episode 47, Reward: 1496.7220458984375
Episode 48, Reward: 1534.29833984375
Episode 49, Reward: 1574.0216064453125
Episode 50, Reward: 1560.2581787109375
Episode 51, Reward: 1526.1572265625
Episode 52, Reward: 1558.80126953125
Episode 53, Reward: 1549.81591796875
Episode 54, Reward: 1554.381591796875
Episode 55, Reward: 1531.8292236328125
Episode 56, Reward: 1527.1087646484375
Episode 57, Reward: 1558.85400390625
Episode 58, Reward: 1611.144775390625
Episode 59, Reward: 1550.027099609375
Episode 60, Reward: 1609.18505859375
Episode 61, Reward: 1552.2054443359375
Episode 62, Reward: 1576.4686279296875
Episode 63, Reward: 1604.928466796875
Episode 64, Reward: 1627.288330078125
Episode 65, Reward: 1602.885009765625
Episode 66, Reward: 1580.6488037109375
Episode 67, Reward: 1693.314208984375
Episode 68, Reward: 1728.817626953125
Episode 69, Reward: 1667.2490234375
Episode 70, Reward: 1676.768310546875
Episode 71, Reward: 1691.8167724609375
Episode 72, Reward: 1702.279296875
Episode 73, Reward: 1708.6954345703125
Episode 74, Reward: 1792.5604248046875
Episode 75, Reward: 1799.8404541015625
Episode 76, Reward: 1757.5579833984375
Episode 77, Reward: 1768.7816162109375
Episode 78, Reward: 1725.9075927734375
Episode 79, Reward: 1685.7662353515625
Episode 80, Reward: 1719.1871337890625
Episode 81, Reward: 1727.7462158203125
Episode 82, Reward: 1700.3134765625
Episode 83, Reward: 1716.7401123046875
Episode 84, Reward: 1751.70458984375
Episode 85, Reward: 1823.3582763671875
Episode 86, Reward: 1776.1669921875
Episode 87, Reward: 1803.2659912109375
Episode 88, Reward: 1799.7412109375
Episode 89, Reward: 1757.9749755859375
Episode 90, Reward: 1767.52587890625
Episode 91, Reward: 1783.0054931640625
Episode 92, Reward: 1744.1229248046875
Episode 93, Reward: 1755.774658203125
Episode 94, Reward: 1794.921630859375
Episode 95, Reward: 1741.267578125
Episode 96, Reward: 1833.0758056640625
Episode 97, Reward: 1828.3096923828125
Episode 98, Reward: 1794.181884765625
Episode 99, Reward: 1877.2413330078125
Episode 100, Reward: 1872.90380859375
Episode 101, Reward: 1904.203369140625
Episode 102, Reward: 1933.4945068359375
Episode 103, Reward: 1882.4776611328125
Episode 104, Reward: 1831.72314453125
Episode 105, Reward: 1856.4805908203125
Episode 106, Reward: 1892.0584716796875
Episode 107, Reward: 1846.982666015625
Episode 108, Reward: 1839.044921875
Episode 109, Reward: 1793.921875
Episode 110, Reward: 1885.99658203125
Episode 111, Reward: 1866.5791015625
Episode 112, Reward: 1854.48046875
Episode 113, Reward: 1825.98193359375
Episode 114, Reward: 1815.3489990234375
Episode 115, Reward: 1769.0076904296875
Episode 116, Reward: 1831.1298828125
Episode 117, Reward: 1853.583740234375
Episode 118, Reward: 1788.0701904296875
Episode 119, Reward: 1831.36376953125
Episode 120, Reward: 1893.330322265625
Episode 121, Reward: 1898.487548828125
Episode 122, Reward: 1903.4061279296875
Episode 123, Reward: 1911.30517578125
Episode 124, Reward: 1867.1810302734375
Episode 125, Reward: 1911.6802978515625
