Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
0,1.0,0.0,0.00814447,0.00814447,1.950970725524514e-07,0.5412161085581121,0.0,0.003702633746788727,0.5449189374019733,0
1,1.0,0.0,0.00814447,0.00814447,2.7749909314956218e-11,0.5361308519835876,0.0,0.0035640216036869374,1.0846138110169976,0
2,1.0,0.0,0.00814447,0.00814447,3.024277683027784e-16,0.5310640613679752,0.0,0.0035292571539201458,1.6192071295388932,0
3,1.0,0.0,0.00814447,0.00814447,3.2295142816986434e-16,0.5260148132641825,0.0,0.003495232421313564,2.1487171752243897,0
4,1.0,0.0,0.00814447,0.00814447,1.2549073256786931e-16,0.5209827150418901,0.0,0.0034613370098261426,2.673161227276106,0
5,1.0,0.0,0.00814447,0.00814447,1.3832086675338005e-16,0.5159673762979529,0.0,0.003427560445330129,3.192556164019389,0
6,1.0,0.0,0.00814447,0.00814447,1.339465123866415e-16,0.5109684021626092,0.0,0.003393899963720421,3.7069184661457184,0
7,1.0,0.0,0.00814447,0.00814447,1.3155205461763553e-16,0.5059853929317447,0.0,0.0033603528443437304,4.216264211921807,0
8,1.0,0.0,0.00814447,0.00814447,1.292746355075998e-16,0.5010179437980815,0.0,0.0033269163356371874,4.720609072055526,0
9,1.0,0.0,0.00814447,0.00814447,1.2776712107568718e-16,0.49606564456482716,0.0,0.0032935876510305924,5.219968304271384,0
10,1.0,0.0,0.00814447,0.00814447,1.274851840935564e-16,0.4911280793443908,0.0,0.003260363967029567,5.714356747582804,0
11,1.0,0.0,0.00814447,0.00814447,1.2870015854958722e-16,0.4862048262457103,0.0,0.0032272424163174796,6.203788816244832,0
12,1.0,0.0,0.00814447,0.00814447,1.3411792577130505e-16,0.48129545702847776,0.0,0.003194220105292727,6.688278493378602,0
13,1.0,0.0,0.00814447,0.00814447,1.4163128431184514e-16,0.4763995367575781,0.0,0.0031612940806648665,7.167839324216845,0
14,1.0,0.0,0.00814447,0.00814447,1.5426568031470038e-16,0.4715166234261277,0.0,0.003128461349483603,7.642484408992456,0
15,1.0,0.0,0.00814447,0.00814447,1.7955502332145165e-16,0.4666462675535648,0.0,0.0030957188773956534,8.112226395423416,0
16,1.0,0.0,0.00814447,0.00814447,2.0904477440032916e-16,0.46178801178602663,0.0,0.0030630635559508374,8.577077470765394,0
17,1.0,0.0,0.00814447,0.00814447,2.515400256176326e-16,0.4569413904490427,0.0,0.003030492235676577,9.037049353450113,0
18,1.0,0.0,0.00814447,0.00814447,3.158855267377515e-16,0.45210592906219893,0.0,0.0029980017291835878,9.492153284241496,0
19,1.0,0.0,0.00814447,0.00814447,4.0954902801087904e-16,0.44728114385779305,0.0,0.002965588756308443,9.942400016855599,0
20,1.0,0.0,0.00814447,0.00814447,5.434142647492758e-16,0.44246654124272694,0.0,0.0029332499956209956,10.387799808093947,0
21,1.0,0.0,0.00814447,0.00814447,7.358607255080508e-16,0.43766161724125996,0.0,0.0029009820441579137,10.828362407379366,0
22,1.0,0.0,0.00814447,0.00814447,1.0116264334246279e-15,0.4328658568984891,0.0,0.0028687814314212507,11.264097045709278,0
23,1.0,0.0,0.00814447,0.00814447,1.4054424801933957e-15,0.42807873364535515,0.0,0.002836644610798524,11.695012423965434,0
24,1.0,0.0,0.00814447,0.00814447,1.965472791163371e-15,0.4232997086221749,0.0,0.0028045679550655817,12.121116700542675,0
25,1.0,0.0,0.00814447,0.00814447,2.7810323384525583e-15,0.41852822995455263,0.0,0.0027725477541977,12.542417478251428,0
26,1.0,0.0,0.00814447,0.00814447,3.907304693395021e-15,0.41376373198940447,0.0,0.002740580200469284,12.958921790441305,0
27,1.0,0.0,0.00814447,0.00814447,5.4845135965079295e-15,0.4090056344694719,0.0,0.0027086613965724843,13.370636086307355,0
28,1.0,0.0,0.00814447,0.00814447,7.679508866687569e-15,0.40425334165369603,0.0,0.002676787342275506,13.777566215303334,0
29,1.0,0.0,0.00814447,0.00814447,1.0715111115706647e-14,0.39950624137620055,0.0,0.0026449539288180913,14.179717410608363,0
30,1.0,0.0,0.00814447,0.00814447,1.48883416844065e-14,0.39476370403763456,0.0,0.002613156932942625,14.577094271578956,0
31,1.0,0.0,0.00814447,0.00814447,2.0591961397487797e-14,0.39002508152311877,0.0,0.0025813920096063583,14.969700745111702,0
32,1.0,0.0,0.00814447,0.00814447,2.8343274558608323e-14,0.38528970604035767,0.0,0.002549654684329887,15.357540105836417,0
33,1.0,0.0,0.00814447,0.00814447,3.882067479726145e-14,0.38055688887049427,0.0,0.0025179403449397983,15.740614935051891,0
34,1.0,0.0,0.00814447,0.00814447,5.29104880768103e-14,0.37582591902355644,0.0,0.0024862442326875744,16.118927098308188,0
35,1.0,0.0,0.00814447,0.00814447,7.176681783984262e-14,0.37109606178957355,0.0,0.0024545614326794453,16.492477721530513,0
36,1.0,0.0,0.00814447,0.00814447,9.688798250791762e-14,0.36636655717533606,0.0,0.0024228868635522978,16.861267165569497,0
37,1.0,0.0,0.00814447,0.00814447,1.302141006826797e-13,0.36163661821561455,0.0,0.002391215266321828,17.225294999051563,0
38,1.0,0.0,0.00814447,0.00814447,1.7425166373852827e-13,0.35690542914636947,0.0,0.002359541192320822,17.584559969390426,0
39,1.0,0.0,0.00814447,0.00814447,2.3223258442833855e-13,0.35217214342603925,0.0,0.0023278589901359944,17.939059971806834,0
40,1.0,0.0,0.00814447,0.00814447,3.0961052814572665e-13,0.3474358816137767,0.0,0.0022961627662823757,18.2887920161872,0
41,1.0,0.0,0.00814447,0.00814447,4.095826231690183e-13,0.34269572899781053,0.0,0.002264446468826767,18.63375219165425,0
42,1.0,0.0,0.00814447,0.00814447,5.400827550877138e-13,0.3379507330723038,0.0,0.002232703724687225,18.97393562845178,0
43,1.0,0.0,0.00814447,0.00814447,7.099734959575354e-13,0.33319990077685246,0.0,0.0022009279171825956,19.309336457146525,0
44,1.0,0.0,0.00814447,0.00814447,9.30603616650299e-13,0.32844219548371334,0.0,0.00216911214207381,19.639947764773243,0
45,1.0,0.0,0.00814447,0.00814447,1.216587808397807e-12,0.3236765337026135,0.0,0.0021372491864944045,19.96576154766357,0
46,1.0,0.0,0.00814447,0.00814447,1.5866489308949237e-12,0.31890178147399245,0.0,0.002105331504839059,20.286768660643986,0
47,1.0,0.0,0.00814447,0.00814447,2.0648180446595464e-12,0.3141167504132589,0.0,0.00207335119276571,20.602958762252076,0
48,1.0,0.0,0.00814447,0.00814447,2.7751444099008543e-12,0.30932019307387404,0.0,0.0020413002180459487,20.91432025554677,0
49,1.0,0.0,0.00814447,0.00814447,3.5859766846144957e-12,0.3045107989416156,0.0,0.002009169377927878,21.2208402238699,0
