Episode 1, Reward: -708464.3125
Episode 2, Reward: -462377.625
Episode 3, Reward: -114187.8203125
Episode 4, Reward: -43675.15625
Episode 5, Reward: -15436.6025390625
Episode 6, Reward: -10321.1845703125
Episode 7, Reward: -6733.01123046875
Episode 8, Reward: -1329.9530029296875
Episode 9, Reward: 515.750244140625
Episode 10, Reward: -4355.79638671875
Episode 11, Reward: -3136.633056640625
Episode 12, Reward: -1323.283935546875
Episode 13, Reward: -129.5024871826172
Episode 14, Reward: 538.5398559570312
Episode 15, Reward: -39.55000686645508
Episode 16, Reward: 563.3133544921875
Episode 17, Reward: 1194.2064208984375
Episode 18, Reward: 1187.72119140625
Episode 19, Reward: 1277.892333984375
Episode 20, Reward: 1314.6444091796875
Episode 21, Reward: 1356.4434814453125
Episode 22, Reward: 1343.0335693359375
Episode 23, Reward: 1392.6478271484375
Episode 24, Reward: 1408.274658203125
Episode 25, Reward: 1440.21533203125
Episode 26, Reward: 1461.7349853515625
Episode 27, Reward: 1481.22900390625
Episode 28, Reward: 1454.777587890625
Episode 29, Reward: 1456.8101806640625
Episode 30, Reward: 1508.71923828125
Episode 31, Reward: 1470.1953125
Episode 32, Reward: 1449.536376953125
Episode 33, Reward: 1589.366943359375
Episode 34, Reward: 1605.275390625
Episode 35, Reward: 1669.2418212890625
Episode 36, Reward: 1708.9989013671875
Episode 37, Reward: 1700.8194580078125
Episode 38, Reward: 1690.272216796875
Episode 39, Reward: 1687.18310546875
Episode 40, Reward: 1822.247802734375
Episode 41, Reward: 1722.6361083984375
Episode 42, Reward: 1727.2432861328125
Episode 43, Reward: 1744.40966796875
Episode 44, Reward: 1854.6024169921875
Episode 45, Reward: 1858.5347900390625
Episode 46, Reward: 1890.52392578125
Episode 47, Reward: 1832.611328125
Episode 48, Reward: 1921.121337890625
Episode 49, Reward: 1931.2822265625
Episode 50, Reward: 1881.9912109375
Episode 51, Reward: 1879.0740966796875
Episode 52, Reward: 1887.594482421875
Episode 53, Reward: 1942.0416259765625
Episode 54, Reward: 1924.01904296875
Episode 55, Reward: 1978.0322265625
Episode 56, Reward: 2015.416748046875
Episode 57, Reward: 1979.0604248046875
Episode 58, Reward: 2049.0517578125
Episode 59, Reward: 2035.67333984375
Episode 60, Reward: 1972.035888671875
Episode 61, Reward: 2003.8006591796875
Episode 62, Reward: 1997.093505859375
Episode 63, Reward: 2031.065673828125
Episode 64, Reward: 1986.6888427734375
Episode 65, Reward: 1962.5054931640625
Episode 66, Reward: 1965.3963623046875
Episode 67, Reward: 1872.82080078125
Episode 68, Reward: 1944.47314453125
Episode 69, Reward: 1959.585693359375
Episode 70, Reward: 2009.25439453125
Episode 71, Reward: 2005.5787353515625
Episode 72, Reward: 2007.941162109375
Episode 73, Reward: 1978.2757568359375
Episode 74, Reward: 2024.5303955078125
Episode 75, Reward: 1985.4794921875
Episode 76, Reward: 2027.086181640625
Episode 77, Reward: 2033.693603515625
Episode 78, Reward: 2041.637939453125
Episode 79, Reward: 2053.06103515625
Episode 80, Reward: 2032.14892578125
Episode 81, Reward: 2056.691162109375
Episode 82, Reward: 2026.8388671875
Episode 83, Reward: 2047.9320068359375
Episode 84, Reward: 2053.666015625
Episode 85, Reward: 2050.115234375
Episode 86, Reward: 2065.011962890625
Episode 87, Reward: 2048.83154296875
Episode 88, Reward: 2025.52392578125
Episode 89, Reward: 2044.0164794921875
Episode 90, Reward: 2057.4638671875
Episode 91, Reward: 2035.3525390625
Episode 92, Reward: 2044.2265625
Episode 93, Reward: 2051.60302734375
Episode 94, Reward: 2022.312255859375
Episode 95, Reward: 2051.780029296875
Episode 96, Reward: 2052.64111328125
Episode 97, Reward: 2054.28173828125
Episode 98, Reward: 2059.8642578125
Episode 99, Reward: 2040.659912109375
Episode 100, Reward: 2035.700927734375
Episode 101, Reward: 2032.4168701171875
Episode 102, Reward: 2032.8807373046875
Episode 103, Reward: 2048.29541015625
Episode 104, Reward: 2034.493896484375
Episode 105, Reward: 2035.1005859375
Episode 106, Reward: 2040.929931640625
Episode 107, Reward: 2024.5257568359375
Episode 108, Reward: 2030.4593505859375
Episode 109, Reward: 2054.712646484375
Episode 110, Reward: 2069.622314453125
Episode 111, Reward: 2020.553466796875
Episode 112, Reward: 2030.6446533203125
Episode 113, Reward: 2006.019287109375
Episode 114, Reward: 2013.576171875
Episode 115, Reward: 2013.97021484375
Episode 116, Reward: 2058.25732421875
Episode 117, Reward: 2070.323486328125
Episode 118, Reward: 2035.097412109375
Episode 119, Reward: 2048.960205078125
Episode 120, Reward: 2024.99853515625
Episode 121, Reward: 2043.885009765625
Episode 122, Reward: 1965.701171875
Episode 123, Reward: 2002.7576904296875
Episode 124, Reward: 1955.5374755859375
Episode 125, Reward: 2021.5892333984375
