group1,group2,meandiff,p-adj,lower,upper,reject
10,14,26221796.8324,0.0009,9919136.1184,42524457.5465,True
10,15,294811.6915,1.0,-16007849.0225,16597472.4056,False
10,16,849025.1608,0.9999,-15453635.5533,17151685.8748,False
10,20,11974029.0306,0.2208,-4328631.6835,28276689.7446,False
14,15,-25926985.1409,0.001,-42229645.855,-9624324.4269,True
14,16,-25372771.6717,0.0013,-41675432.3857,-9070110.9576,True
14,20,-14247767.8019,0.1052,-30550428.5159,2054892.9122,False
15,16,554213.4693,1.0,-15748447.2448,16856874.1833,False
15,20,11679217.3391,0.2411,-4623443.375,27981878.0531,False
16,20,11125003.8698,0.283,-5177656.8443,27427664.5838,False
