group1,group2,meandiff,p-adj,lower,upper,reject
10,14,4972765.9043,0.0003,2190160.7736,7755371.0351,True
10,15,774604.8677,0.9171,-2008000.263,3557209.9985,False
10,16,544386.2524,0.9757,-2238218.8784,3326991.3831,False
10,20,3651695.8745,0.0066,869090.7438,6434301.0053,True
14,15,-4198161.0366,0.0018,-6980766.1674,-1415555.9059,True
14,16,-4428379.652,0.001,-7210984.7827,-1645774.5212,True
14,20,-1321070.0298,0.6222,-4103675.1606,1461535.101,False
15,16,-230218.6153,0.9991,-3012823.7461,2552386.5154,False
15,20,2877091.0068,0.0405,94485.8761,5659696.1376,True
16,20,3107309.6222,0.024,324704.4914,5889914.7529,True
