Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
0,1.0,0.0,0.016931757,0.016931757,2.6211970462784e-07,0.5697294739876944,0.0,0.014420740673918969,0.5841504767813179,0
1,1.0,0.0,0.016931757,0.016931757,3.827589917890217e-11,0.5598747685945153,0.0,0.014155626982131755,1.158180872396241,0
2,1.0,0.0,0.016931757,0.016931757,2.0264904585268456e-16,0.5500518502867519,0.0,0.013887065707514273,1.7221197883905073,0
3,1.0,0.0,0.016931757,0.016931757,2.4204296555124423e-15,0.5402567941306866,0.0,0.013622494933221136,2.2759990774544177,0
4,1.0,0.0,0.016931757,0.016931757,1.4402782638337346e-15,0.5304865364996169,0.0,0.0133590751636411,2.819844689117677,0
5,1.0,0.0,0.016931757,0.016931757,1.6787773182707943e-15,0.520737900948006,0.0,0.01309669070316925,3.353679280768854,0
6,1.0,0.0,0.016931757,0.016931757,1.8605792060434106e-15,0.5110075763753097,0.0,0.012835250809054202,3.8775221079532196,0
7,1.0,0.0,0.016931757,0.016931757,2.1594118876553545e-15,0.5012921025644802,0.0,0.012574661778435896,4.391388872296138,0
8,1.0,0.0,0.016931757,0.016931757,2.616896408057192e-15,0.491587854299697,0.0,0.012314825903196666,4.8952915524990335,0
9,1.0,0.0,0.016931757,0.016931757,3.3331409444802832e-15,0.48189102346965457,0.0,0.012055641048089972,5.389238217016781,0
10,1.0,0.0,0.016931757,0.016931757,4.469913655914513e-15,0.4721975988635883,0.0,0.011797000140337337,5.873232816020711,0
11,1.0,0.0,0.016931757,0.016931757,6.29907472702358e-15,0.46250334327919307,0.0,0.011538790596337396,6.3472749498962475,0
12,1.0,0.0,0.016931757,0.016931757,9.278161443851461e-15,0.4528037674914203,0.0,0.011280893669389292,6.811359611057067,0
13,1.0,0.0,0.016931757,0.016931757,1.4177022208221763e-14,0.4430941005381384,0.0,0.011023183705387992,7.2654768953006075,0
14,1.0,0.0,0.016931757,0.016931757,2.2286660677367654e-14,0.4333692556642868,0.0,0.010765527289949154,7.709611678254865,0
15,1.0,0.0,0.016931757,0.016931757,3.7033650940173414e-14,0.42362379102903197,0.0,0.010507782499010075,8.143743251782944,0
16,1.0,0.0,0.016931757,0.016931757,6.037222112846153e-14,0.41385186457162093,0.0,0.010249796883175266,8.567844913237801,0
17,1.0,0.0,0.016931757,0.016931757,9.936614825030045e-14,0.4040471812470592,0.0,0.009991407419907202,8.981883501904866,0
18,1.0,0.0,0.016931757,0.016931757,1.6421512754209654e-13,0.39420293155837477,0.0,0.00973243814259612,9.385818871606,0
19,1.0,0.0,0.016931757,0.016931757,2.71817707468385e-13,0.38431171936951225,0.0,0.00947269855690027,9.779603289532684,0
20,1.0,0.0,0.016931757,0.016931757,4.4989796370255377e-13,0.37436547665523634,0.0,0.009211981495104807,10.163180747683475,0
21,1.0,0.0,0.016931757,0.016931757,7.439868677685759e-13,0.36435536219236236,0.0,0.008950060583710102,10.536486170460291,0
22,1.0,0.0,0.016931757,0.016931757,1.2289830546258295e-12,0.35427164035431447,0.0,0.008686687211355263,10.89944449802719,0
23,1.0,0.0,0.016931757,0.016931757,2.0285425040940036e-12,0.34410353504424623,0.0,0.008421586875856485,11.251969619949321,0
24,1.0,0.0,0.016931757,0.016931757,3.3479548328685116e-12,0.3338390522769264,0.0,0.008154454747877333,11.593963126977473,0
25,1.0,0.0,0.016931757,0.016931757,5.53065925337119e-12,0.3234647628310744,0.0,0.007884950237350334,11.925312840051427,0
26,1.0,0.0,0.016931757,0.016931757,9.156977966576358e-12,0.312965533493044,0.0,0.007612690276477876,12.245891063830106,0
27,1.0,0.0,0.016931757,0.016931757,1.5219893883834348e-11,0.3023241913250767,0.0,0.007337240931579985,12.555552496101983,0
28,1.0,0.0,0.016931757,0.016931757,2.5444953957079522e-11,0.2915210995377672,0.0,0.007058106810766657,12.854131702475962,0
29,1.0,0.0,0.016931757,0.016931757,4.2887552551860753e-11,0.2805336150161279,0.0,0.006774717523027293,13.141440035058006,0
30,1.0,0.0,0.016931757,0.016931757,7.308177583824674e-11,0.2693353848731456,0.0,0.006486410130820391,13.417261830135054,0
31,1.0,0.0,0.016931757,0.016931757,1.263635092543991e-10,0.2578954201105364,0.0,0.00619240621656864,13.681349656588523,0
32,1.0,0.0,0.016931757,0.016931757,2.2252596317013863e-10,0.24617685480950302,0.0,0.005891780396621919,13.933418292017175,0
33,1.0,0.0,0.016931757,0.016931757,3.975281474349921e-10,0.23428436040871803,0.0,0.00558718988046195,14.173289842703882,0
34,1.0,0.0,0.016931757,0.016931757,7.104455737156714e-10,0.22251251650470213,0.0,0.0052860907792904345,14.401088450698321,0
35,1.0,0.0,0.016931757,0.016931757,1.2745992266808358e-09,0.21086088417997875,0.0,0.0049884687265643705,14.616937804879463,0
36,1.0,0.0,0.016931757,0.016931757,2.3057997013272973e-09,0.199329230377708,0.0,0.0046943163098214944,14.820961353872791,0
37,1.0,0.0,0.016931757,0.016931757,4.225658208085186e-09,0.18791759992356286,0.0,0.004403635357474704,15.013282593379486,0
38,1.0,0.0,0.016931757,0.016931757,7.884449718949891e-09,0.17662642383977212,0.0,0.0041164404141239355,15.194025465517832,0
39,1.0,0.0,0.016931757,0.016931757,1.5080214244994293e-08,0.16545668720475465,0.0,0.003832764661407675,15.363314932464208,0
40,1.0,0.0,0.016931757,0.016931757,2.9773244513372743e-08,0.15441020063291153,0.0,0.003552666718835264,15.521277829589199,0
41,1.0,0.0,0.016931757,0.016931757,6.106976147807663e-08,0.1434900574499735,0.0,0.003276247029254497,15.668044195138188,0
42,1.0,0.0,0.016931757,0.016931757,1.3183039393140252e-07,0.13270144955381627,0.0,0.0030036706987225503,15.80374944722112,0
43,1.0,0.0,0.016931757,0.016931757,3.039715712250897e-07,0.12205321875458497,0.0,0.002735211629258793,15.928538181576535,0
44,1.0,0.0,0.016931757,0.016931757,7.636859379128023e-07,0.11156104076664537,0.0,0.0024713360215477017,16.042571322050666,0
45,1.0,0.0,0.016931757,0.016931757,2.1473056489934717e-06,0.10125451125347949,0.0,0.0022128744509785996,16.14604085506077,0
46,1.0,0.0,0.016931757,0.016931757,6.984209015575074e-06,0.09119380308229025,0.0,0.0019613956957483477,16.239203038047826,0
47,1.0,0.0,0.016931757,0.016931757,2.693476735360057e-05,0.08150494928216613,0.0,0.0017200510488827167,16.32245497314623,0
48,1.0,0.0,0.016931757,0.016931757,0.0001163686342784114,0.07241263286722374,0.0,0.0014952992381543056,16.396479273885884,0
49,1.0,0.0,0.016931757,0.016931757,0.00044627060387923885,0.06417412085018753,0.0,0.001298958268289525,16.46239862360824,0
50,1.0,0.0,0.016931757,0.016931757,0.0012842178655150323,0.056966532887119184,0.0,0.0011456524200621867,16.521795026780936,0
51,1.0,0.0,0.016931757,0.016931757,0.0026828093648290125,0.05088422566231441,0.0,0.001039980852857694,16.576402042660938,0
52,1.0,0.0,0.016931757,0.016931757,0.004612987261494999,0.045973223034244885,0.0,0.0009801153303171182,16.627968368286993,0
53,1.0,0.0,0.016931757,0.016931757,0.006497262898821055,0.04227248070847466,0.0,0.0009575257234391752,16.677695637617727,0
54,1.0,0.0,0.016931757,0.016931757,0.008216917171155807,0.03980319086457404,0.0,0.0009914431154705793,16.726707188768927,0
55,1.0,0.0,0.016931757,0.016931757,0.009706338041021313,0.03861256286416023,0.0,0.0010898485381560465,16.776115938212264,0
56,1.0,0.0,0.016931757,0.016931757,0.009758572312044399,0.0387147582825039,0.0,0.0012824079236332905,16.825871676730447,0
57,1.0,0.0,0.016931757,0.016931757,0.009243227114461936,0.04017701020225259,0.0,0.0014622705628236658,16.876754184609986,0
58,1.0,0.0,0.016931757,0.016931757,0.007371760705606541,0.043029217974520195,0.0,0.001652148554453032,16.928807311844565,0
59,1.0,0.0,0.016931757,0.016931757,0.007937865078205679,0.047327646204624235,0.0,0.0018048576899006978,16.985877680817296,0
60,1.0,0.0,0.016931757,0.016931757,0.005076652021459658,0.05304947224419792,0.0,0.0020584704408281264,17.04606227552378,0
61,1.0,0.0,0.016931757,0.016931757,0.004057023466910668,0.06014873609282543,0.0,0.0021858423973257035,17.112453877480842,0
62,1.0,0.0,0.016931757,0.016931757,0.002668291996775821,0.06815420860482041,0.0,0.0023550776665042556,17.185631455748943,0
63,1.0,0.0,0.016931757,0.016931757,0.0014360455418480327,0.07653602988345747,0.0,0.0024947988889246213,17.266098330063173,0
64,1.0,0.0,0.016931757,0.016931757,0.000572095379878818,0.08500530312736057,0.0,0.002653216808983479,17.354328945379397,0
65,1.0,0.0,0.016931757,0.016931757,0.0002335946938957717,0.09348921647789973,0.0,0.002795942149481722,17.450847698700674,0
66,1.0,0.0,0.016931757,0.016931757,8.999539694409976e-05,0.10194054562841662,0.0,0.0029655801773591575,17.555843819903394,0
67,1.0,0.0,0.016931757,0.016931757,3.5182346327242434e-05,0.11034610363650464,0.0,0.0031340008514431374,17.66935910673767,0
68,1.0,0.0,0.016931757,0.016931757,1.144727824360251e-05,0.1186926920197077,0.0,0.0033154140914181465,17.791378660127037,0
69,1.0,0.0,0.016931757,0.016931757,3.1765217897236395e-06,0.12697492457474724,0.0,0.003500740634140054,17.921857501857716,0
70,1.0,0.0,0.016931757,0.016931757,6.803262219925228e-07,0.1351880887962223,0.0,0.0036918240812105502,18.06073809506137,0
71,1.0,0.0,0.016931757,0.016931757,1.1970515521661426e-07,0.14332976681372153,0.0,0.0038848743484634135,18.20795285592871,0
72,1.0,0.0,0.016931757,0.016931757,1.5030469262561566e-08,0.15139817020856958,0.0,0.004079215762477227,18.363430256930226,0
73,1.0,0.0,0.016931757,0.016931757,1.7257417782902083e-09,0.15939242999939982,0.0,0.004272891021911046,18.52709557967728,0
74,1.0,0.0,0.016931757,0.016931757,1.419076961506887e-10,0.16731207383119331,0.0,0.004465368529334864,18.698873022179715,0
75,1.0,0.0,0.016931757,0.016931757,3.145374102516086e-11,0.17515698187115045,0.0,0.004656030133341114,18.87868603421566,0
76,1.0,0.0,0.016931757,0.016931757,1.4136372959697333e-11,0.1829272277132553,0.0,0.00484476529279638,19.06645802723585,0
77,1.0,0.0,0.016931757,0.016931757,1.772799758608664e-11,0.19062302180376725,0.0,0.005031478116896882,19.262112527174242,0
78,1.0,0.0,0.016931757,0.016931757,2.2285533105364054e-11,0.19824467011115618,0.0,0.0052161700700738955,19.465573367377758,0
79,1.0,0.0,0.016931757,0.016931757,2.9097372263940596e-11,0.20579254511672188,0.0,0.0053988482848452,19.67676476080842,0
80,1.0,0.0,0.016931757,0.016931757,3.49585629124778e-11,0.21326707128291322,0.0,0.00557952730623618,19.89561135943253,0
81,1.0,0.0,0.016931757,0.016931757,4.064287331648264e-11,0.22066871113006106,0.0,0.005758223200424592,20.12203829380366,0
82,1.0,0.0,0.016931757,0.016931757,4.545396361609446e-11,0.2279979567294002,0.0,0.00593495293865971,20.35597120351717,0
83,1.0,0.0,0.016931757,0.016931757,4.947559696380567e-11,0.23525532249421516,0.0,0.00610973386585199,20.597336259926713,0
