Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
0,0.79677236,1.0,0.010914365,0.010914365,2.698627753225774e-09,1.3757761651706784,0.0,0.017479651655038994,1.3932558195243452,0
1,0.79677236,1.0,0.010914365,0.010914365,2.1650426069978854e-14,1.3651006114630697,0.0,0.01708089410346731,2.7754373250909037,0
2,0.79677236,1.0,0.010914365,0.010914365,2.681304893597791e-18,1.3545121202214245,0.0,0.016941586011230237,4.146891031323559,0
3,0.79677236,1.0,0.010914365,0.010914365,8.646299872912752e-18,1.344009874328444,0.0,0.016803593428996923,5.507704499081,0
4,0.79677236,1.0,0.010914365,0.010914365,8.221675720063341e-18,1.3335931389085844,0.0,0.01666677667223154,6.857964414661816,0
5,0.79677236,1.0,0.010914365,0.010914365,8.290956552816312e-18,1.3232611857402754,0.0,0.016531125069709503,8.197756725471802,0
6,0.79677236,1.0,0.010914365,0.010914365,8.357659205847e-18,1.313013293054029,0.0,0.016396628298368635,9.527166646824199,0
7,0.79677236,1.0,0.010914365,0.010914365,8.35501630203238e-18,1.3028487454723758,0.0,0.016263276131024903,10.8462786684276,0
8,0.79677236,1.0,0.010914365,0.010914365,8.34337522317116e-18,1.2927668339496958,0.0,0.01613105843667493,12.15517656081397,0
9,0.79677236,1.0,0.010914365,0.010914365,8.33663419205224e-18,1.2827668557148906,0.0,0.015999965176082778,13.453943381704944,0
10,0.79677236,1.0,0.010914365,0.010914365,8.338264390553103e-18,1.2728481142140304,0.0,0.01586998640177197,14.742661482320747,0
11,0.79677236,1.0,0.010914365,0.010914365,8.33822338633285e-18,1.263009919053621,0.0,0.015741112257054997,16.02141251363142,0
12,0.79677236,1.0,0.010914365,0.010914365,8.338224246560209e-18,1.253251585944173,0.0,0.015613332975519794,17.290277432551115,0
13,0.79677236,1.0,0.010914365,0.010914365,8.338224246560209e-18,1.243572436644421,0.0,0.015486638880010832,18.549336508075548,0
14,0.79677236,1.0,0.010914365,0.010914365,0.0007781842618111547,1.235311213347498,0.0,0.02114158845535311,19.80656749414021,0
15,0.79677236,1.0,0.010914365,0.010914365,0.0026582721952824045,1.2281810070168158,0.0,0.0327934368916261,21.070200210243936,0
16,0.7967738,1.0,0.010914365,0.010914365,0.002311232248285475,1.220854904954566,0.0,0.03268302260828428,22.32604937005507,0
17,0.79677236,1.0,0.010914365,0.010914365,0.0019656700338967375,1.213358280121369,0.0,0.03039420645222863,23.571767526662565,0
18,0.7967724,1.0,0.010914365,0.010914365,0.001907600521777215,1.205884148846634,0.0,0.028444886698477882,24.808004162729453,0
19,0.79677254,1.0,0.010914365,0.010914365,0.0005862432533692208,1.1974273758659637,0.0,0.022167544397100378,26.028185326245886,0
20,0.79677236,1.0,0.010914365,0.010914365,0.0006933254103714307,1.1891272068464935,0.0,0.02194443101159289,27.239950289514343,0
21,0.79677236,1.0,0.010914365,0.010914365,0.0007686071905957184,1.1809047453252752,0.0,0.022200006504896834,28.443823648535112,0
22,0.79677236,1.0,0.010914365,0.010914365,0.0007728906948530717,1.172719279602935,0.0,0.0220051849997869,29.639321003832688,0
23,0.7967725,1.0,0.010914365,0.010914365,0.0007216616222589004,1.1644995387355388,0.0,0.02211068536081749,30.826652889551305,0
24,0.79677254,1.0,0.010914365,0.010914365,0.0006427961167641337,1.1562081001887272,0.0,0.022003746534951914,32.005507532391746,0
25,0.7967727,1.0,0.010914365,0.010914365,0.0006458121552299831,1.1484400998349635,0.0,0.020209752868976246,33.17480319725092,0
26,0.7967726,1.0,0.010914365,0.010914365,0.0005718525387899481,1.140684850878835,0.0,0.02554174877668312,34.341601649445224,0
27,0.79677284,1.0,0.010914365,0.010914365,0.002480085724578056,1.1341044288652646,0.0,0.028531069392378754,35.506717233427445,0
28,0.79677296,1.0,0.010914365,0.010914365,0.0024011991364733115,1.127385283520331,0.0,0.026698529974329945,36.66320224605858,0
29,0.79677546,1.0,0.010914365,0.010914365,0.0005831200398782398,1.1195914160782412,0.0,0.0207026105335695,37.80407939271027,0
30,0.79677254,1.0,0.010914365,0.010914365,0.002330256468095027,1.1127814637695372,0.0,0.026631784305745504,38.94582289725365,0
31,0.796773,1.0,0.010914365,0.010914365,0.000527627337046033,1.1048819778232148,0.0,0.02034388381393939,40.07157638622785,0
32,0.7967729,1.0,0.010914365,0.010914365,3.427615889147477e-09,1.0964172747048149,0.0,0.013547613289441904,41.18154127764972,0
33,0.7967731,1.0,0.010914365,0.010914365,1.2579970340815347e-10,1.0879987080435611,0.0,0.013469714838713629,42.28300970065779,0
34,0.79677325,1.0,0.010914365,0.010914365,1.3425456893567833e-10,1.0796480859192361,0.0,0.013360997020311087,43.376018783731595,0
35,0.7967735,1.0,0.010914365,0.010914365,1.3449764595166538e-10,1.071364780846209,0.0,0.013253289703511266,44.46063685441581,0
36,0.79677385,1.0,0.010914365,0.010914365,1.3425645489145678e-10,1.0631482265365728,0.0,0.013146488529332496,45.53693156961597,0
37,0.7967742,1.0,0.010914365,0.010914365,1.3426688063555463e-10,1.054997859589381,0.0,0.013040588762587207,46.60497001810221,0
38,0.79677474,1.0,0.010914365,0.010914365,1.3426643573097626e-10,1.0469131219622014,0.0,0.012935581865347205,47.66481872206402,0
39,0.79677534,1.0,0.010914365,0.010914365,1.3502645725338643e-10,1.038893459272617,0.0,0.012831461892279182,48.71654364336394,0
40,0.7967762,1.0,0.010914365,0.010914365,1.344792643156859e-10,1.0309383252752404,0.0,0.012728216066079975,49.76021018483974,0
41,0.79677725,1.0,0.010914365,0.010914365,1.344735527177188e-10,1.0230471756357813,0.0,0.01262584110118295,50.79588320171118,0
42,0.79677844,1.0,0.010914365,0.010914365,0.0007467638258879263,1.0162703119605785,0.0,0.018782189993720454,51.83168246749136,0
43,0.79687417,1.0,0.010914365,0.010914365,0.0007108868171333503,1.009399969122607,0.0,0.019710098146434294,52.86150342157754,0
44,0.796803,1.0,0.010914365,0.010914365,0.0005687187224287028,1.0023716786843189,0.0,0.019231885291581593,53.883675704275866,0
45,0.79677886,1.0,0.010914365,0.010914365,5.305994020823341e-09,0.9947185385794937,0.0,0.012249745688587162,54.89064399384994,0
46,0.7967898,1.0,0.010914365,0.010914365,2.2939076437266205e-10,0.9871164482552524,0.0,0.012163352896283553,55.88992379523087,0
47,0.7967942,1.0,0.010914365,0.010914365,2.467779855009462e-10,0.9795754545973374,0.0,0.01206559239078108,56.881564842465764,0
48,0.7967999,1.0,0.010914365,0.010914365,2.4587302632742407e-10,0.9720949702985708,0.0,0.011968777495978133,57.865628590506184,0
49,0.79680705,1.0,0.010914365,0.010914365,2.4591647628905596e-10,0.964674486949075,0.0,0.011872775997159968,58.842175853698336,0
50,0.796816,1.0,0.010914365,0.010914365,2.458222483275417e-10,0.9573135007158072,0.0,0.011777580635928844,59.8112669352959,0
