Episode 1, Reward: -2858705.50
Episode 2, Reward: -2166712.50
Episode 3, Reward: -2985831.75
Episode 4, Reward: -3376603.50
Episode 5, Reward: -3351353.00
Episode 6, Reward: -3326274.75
Episode 7, Reward: -3040190.25
Episode 8, Reward: -2851389.00
Episode 9, Reward: -2579610.50
Episode 10, Reward: -2517633.25
Episode 11, Reward: -2032292.88
Episode 12, Reward: -1558357.62
Episode 13, Reward: -1237700.12
Episode 14, Reward: -1040236.62
Episode 15, Reward: -1028045.50
Episode 16, Reward: -929970.12
Episode 17, Reward: -892351.75
Episode 18, Reward: -807503.38
Episode 19, Reward: -754333.25
Episode 20, Reward: -691311.81
Episode 21, Reward: -649752.81
Episode 22, Reward: -484840.59
Episode 23, Reward: -379999.38
Episode 24, Reward: -316072.16
Episode 25, Reward: -279830.38
Episode 26, Reward: -250450.27
Episode 27, Reward: -223547.58
Episode 28, Reward: -199046.33
Episode 29, Reward: -163776.59
Episode 30, Reward: -138681.64
Episode 31, Reward: -102476.20
Episode 32, Reward: -82478.12
Episode 33, Reward: -75645.72
Episode 34, Reward: -71402.38
Episode 35, Reward: -63073.01
Episode 36, Reward: -61836.44
Episode 37, Reward: -59996.48
Episode 38, Reward: -51248.05
Episode 39, Reward: -45392.61
Episode 40, Reward: -39799.86
Episode 41, Reward: -36232.50
Episode 42, Reward: -33643.13
Episode 43, Reward: -30302.02
Episode 44, Reward: -25305.54
Episode 45, Reward: -19113.19
Episode 46, Reward: -16745.96
Episode 47, Reward: -12279.33
Episode 48, Reward: -10551.10
Episode 49, Reward: -9838.65
Episode 50, Reward: -9836.60
Episode 51, Reward: -9836.00
Episode 52, Reward: -9836.95
Episode 53, Reward: -9611.94
Episode 54, Reward: -8486.88
Episode 55, Reward: -7209.99
Episode 56, Reward: -6384.29
Episode 57, Reward: -6268.55
Episode 58, Reward: -5212.66
Episode 59, Reward: -4756.94
Episode 60, Reward: -4042.22
Episode 61, Reward: -3813.45
Episode 62, Reward: -3887.59
Episode 63, Reward: -3621.61
Episode 64, Reward: -3019.63
Episode 65, Reward: -2943.28
Episode 66, Reward: -2716.73
Episode 67, Reward: -2794.27
Episode 68, Reward: -2902.61
Episode 69, Reward: -3315.94
Episode 70, Reward: -3236.03
Episode 71, Reward: -3419.47
Episode 72, Reward: -3190.02
Episode 73, Reward: -3114.50
Episode 74, Reward: -3115.91
Episode 75, Reward: -2887.29
Episode 76, Reward: -2957.48
Episode 77, Reward: -2238.95
Episode 78, Reward: -1863.26
Episode 79, Reward: -1340.55
Episode 80, Reward: -964.27
Episode 81, Reward: -740.22
Episode 82, Reward: -1037.68
Episode 83, Reward: -662.12
Episode 84, Reward: -514.58
Episode 85, Reward: -963.89
Episode 86, Reward: -1039.26
Episode 87, Reward: -1037.61
Episode 88, Reward: -1638.27
Episode 89, Reward: -1630.93
Episode 90, Reward: -1251.47
Episode 91, Reward: -1168.73
Episode 92, Reward: -943.90
Episode 93, Reward: -496.19
Episode 94, Reward: -341.04
Episode 95, Reward: -413.31
Episode 96, Reward: 40.37
Episode 97, Reward: 266.23
Episode 98, Reward: 268.08
Episode 99, Reward: 263.99
Episode 100, Reward: 343.52
Episode 101, Reward: 499.04
Episode 102, Reward: 421.66
Episode 103, Reward: 648.31
Episode 104, Reward: 799.06
Episode 105, Reward: 801.87
Episode 106, Reward: 876.49
Episode 107, Reward: 883.19
Episode 108, Reward: 963.72
Episode 109, Reward: 819.50
Episode 110, Reward: 977.95
Episode 111, Reward: 984.58
Episode 112, Reward: 990.89
Episode 113, Reward: 997.13
Episode 114, Reward: 1007.62
Episode 115, Reward: 1012.84
Episode 116, Reward: 1016.11
Episode 117, Reward: 1169.91
Episode 118, Reward: 1172.97
Episode 119, Reward: 1099.57
Episode 120, Reward: 1029.43
Episode 121, Reward: 1032.97
Episode 122, Reward: 1036.50
Episode 123, Reward: 964.92
Episode 124, Reward: 971.78
Episode 125, Reward: 900.40
Episode 126, Reward: 904.97
Episode 127, Reward: 836.73
Episode 128, Reward: 912.85
