group1,group2,meandiff,p-adj,lower,upper,reject
10,14,924976.6,0.0,566532.7451,1283420.4549,True
10,15,-3714.8,1.0,-362158.6549,354729.0549,False
10,16,12860.2,1.0,-345583.6549,371304.0549,False
10,20,176005.4,0.5927,-182438.4549,534449.2549,False
14,15,-928691.4,0.0,-1287135.2549,-570247.5451,True
14,16,-912116.4,0.0,-1270560.2549,-553672.5451,True
14,20,-748971.2,0.0,-1107415.0549,-390527.3451,True
15,16,16575.0,0.9999,-341868.8549,375018.8549,False
15,20,179720.2,0.574,-178723.6549,538164.0549,False
16,20,163145.2,0.6575,-195298.6549,521589.0549,False
