Episode 1, Reward: -1484675.5
Episode 2, Reward: -227630.6875
Episode 3, Reward: -473998.625
Episode 4, Reward: -92549.0
Episode 5, Reward: -19329.455078125
Episode 6, Reward: -14504.3818359375
Episode 7, Reward: -8204.3046875
Episode 8, Reward: -4914.96240234375
Episode 9, Reward: -700.6343994140625
Episode 10, Reward: -1327.39990234375
Episode 11, Reward: 1101.87646484375
Episode 12, Reward: 557.2332153320312
Episode 13, Reward: -3060.499267578125
Episode 14, Reward: -711.789306640625
Episode 15, Reward: -2471.673828125
Episode 16, Reward: -1902.73974609375
Episode 17, Reward: -2496.986572265625
Episode 18, Reward: 1133.1199951171875
Episode 19, Reward: -53.54803466796875
Episode 20, Reward: -633.4005737304688
Episode 21, Reward: 605.4315185546875
Episode 22, Reward: 18.936302185058594
Episode 23, Reward: -612.9722290039062
Episode 24, Reward: -608.7492065429688
Episode 25, Reward: -1196.7012939453125
Episode 26, Reward: 1225.944091796875
Episode 27, Reward: 1255.1949462890625
Episode 28, Reward: 1282.0145263671875
Episode 29, Reward: 1411.39990234375
Episode 30, Reward: 1385.041015625
Episode 31, Reward: 1376.9871826171875
Episode 32, Reward: 1360.1143798828125
Episode 33, Reward: 1395.0892333984375
Episode 34, Reward: 1488.9388427734375
Episode 35, Reward: 1553.694091796875
Episode 36, Reward: 1516.2215576171875
Episode 37, Reward: 936.6126098632812
Episode 38, Reward: 1546.5435791015625
Episode 39, Reward: 1578.37158203125
Episode 40, Reward: 1525.202392578125
Episode 41, Reward: 1550.84619140625
Episode 42, Reward: 1555.15185546875
Episode 43, Reward: 1585.3544921875
Episode 44, Reward: 1528.55224609375
Episode 45, Reward: 1599.913818359375
Episode 46, Reward: 1533.4954833984375
Episode 47, Reward: 1606.1346435546875
Episode 48, Reward: 1544.6768798828125
Episode 49, Reward: 1610.0833740234375
Episode 50, Reward: 1582.133056640625
