Episode 1, Reward: -1439104.358785049
Episode 2, Reward: -1432481.5707809683
Episode 3, Reward: -158801.76376098298
Episode 4, Reward: -71464.21085945482
Episode 5, Reward: -35137.21412625071
Episode 6, Reward: -7535.555724157486
Episode 7, Reward: -11422.276569522044
Episode 8, Reward: -1541.265510164143
Episode 9, Reward: -1538.3288457529634
Episode 10, Reward: -1522.690383590525
Episode 11, Reward: -299.52564520032684
Episode 12, Reward: -886.6937471330166
Episode 13, Reward: -282.8657950948109
Episode 14, Reward: -251.91380631440802
Episode 15, Reward: -845.347457288357
Episode 16, Reward: -218.1880612738678
Episode 17, Reward: -179.52443202093127
Episode 18, Reward: -186.32825014395348
Episode 19, Reward: -132.5278529955831
Episode 20, Reward: -145.52206584842497
Episode 21, Reward: -124.56042451581015
Episode 22, Reward: -105.37310921080643
Episode 23, Reward: -89.48779302040612
Episode 24, Reward: -85.89116108740564
Episode 25, Reward: -87.93028843437787
Episode 26, Reward: -53.847902007968514
Episode 27, Reward: -24.08155159918897
Episode 28, Reward: -8.57474715411081
Episode 29, Reward: -9.572807043115517
Episode 30, Reward: -19.340166440131725
Episode 31, Reward: -0.351304751355201
