Episode 1, Reward: -2197447.501170114
Episode 2, Reward: -1252423.2638227239
Episode 3, Reward: -289812.1251647805
Episode 4, Reward: -143695.6500734093
Episode 5, Reward: -24239.06448237957
Episode 6, Reward: -19727.816043560462
Episode 7, Reward: -9806.825994795616
Episode 8, Reward: -10719.106653308187
Episode 9, Reward: -4980.513321753044
Episode 10, Reward: -1985.1796009869017
Episode 11, Reward: -763.1260740619105
Episode 12, Reward: -1368.4903126237155
Episode 13, Reward: -153.82039650081788
Episode 14, Reward: -129.30867585940263
Episode 15, Reward: -108.46862016952764
Episode 16, Reward: -77.02920556960453
Episode 17, Reward: -63.765570428569674
Episode 18, Reward: -48.494971317258205
Episode 19, Reward: -7.040692885741009
Episode 20, Reward: -2.4021146303234673
Episode 21, Reward: 12.397559854866017
Episode 22, Reward: -2.102637078468433
Episode 23, Reward: 1.9693268964618795
Episode 24, Reward: 28.518501684161492
Episode 25, Reward: 21.43744525848227
Episode 26, Reward: 48.350224209342315
Episode 27, Reward: 47.156147843397775
Episode 28, Reward: 59.96160536515072
Episode 29, Reward: 76.41650115588078
Episode 30, Reward: 70.35467984250317
Episode 31, Reward: 70.08507170365283
