Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
0,0.9953043,0.0,0.009899652,0.009899652,0.04202100715145171,0.5552689305823052,0.0,0.03581733233143477,0.6331072700651917,0
1,0.9952965,0.0,0.009899652,0.009899652,0.0009710531818208218,0.5496677757191625,0.0,0.014563039436102015,1.198309138402277,0
2,0.99529755,0.0,0.009899652,0.009899652,0.003812396627764234,0.5446574595795232,0.0,0.03195630647372436,1.7787353010832887,0
3,0.9952976,0.0,0.009899652,0.009899652,0.0038388075147018884,0.539490810368961,0.0,0.030895938176876206,2.352960857143828,0
4,0.9952983,0.0,0.009899652,0.009899652,0.003851535057821673,0.5342051043405565,0.0,0.03261635749748855,2.9236338540396947,0
5,0.9952976,0.0,0.009899652,0.009899652,0.0038944073598043,0.5289486411978273,0.0,0.03245096415431985,3.488927866751646,0
6,0.995297,0.0,0.009899652,0.009899652,0.003903270498577305,0.5236687114371968,0.0,0.032148132312861094,4.048647981000281,0
7,0.99529755,0.0,0.009899652,0.009899652,0.0038954750591278934,0.5183697031344653,0.0,0.03101628878804943,4.601929447981924,0
8,0.9952973,0.0,0.009899652,0.009899652,0.0010010983813420566,0.5125813228195305,0.0,0.026627715662049325,5.142139584844846,0
9,0.99529755,0.0,0.009899652,0.009899652,4.456387114920023e-08,0.506337550099888,0.0,0.005274439738263972,5.653751619246869,0
10,0.9952975,0.0,0.009899652,0.009899652,6.494477135964137e-09,0.5001475277420897,0.0,0.005150885804551012,6.159050039287987,0
11,0.9952975,0.0,0.009899652,0.009899652,6.601471232986446e-09,0.49397128126964723,0.0,0.00508537861160847,6.658106705770714,0
12,0.99529743,0.0,0.009899652,0.009899652,6.760369120180533e-09,0.48780779081143183,0.0,0.005020278811484227,7.150934782153999,0
13,0.9952975,0.0,0.009899652,0.009899652,6.8888235447179874e-09,0.4816561672419485,0.0,0.004955327404636989,7.6375462836894075,0
14,0.9952975,0.0,0.009899652,0.009899652,7.025243390158429e-09,0.47551549476578425,0.0,0.004890516705644816,8.11795230218608,0
15,0.9952975,0.0,0.009899652,0.009899652,7.167337415924829e-09,0.46938483086807703,0.0,0.00482583683983926,8.592162977061333,0
16,0.9952975,0.0,0.009899652,0.009899652,0.0010152795521740682,0.4638725492258977,0.0,0.013867515108161442,9.070918320947566,0
17,0.99529725,0.0,0.009899652,0.009899652,0.0009345295755320877,0.4581988563370272,0.0,0.015508038412234214,9.54555974527236,0
18,0.9952975,0.0,0.009899652,0.009899652,0.0009207264256434896,0.4524724200108689,0.0,0.01660947570660432,10.015562367415477,0
19,0.9952976,0.0,0.009899652,0.009899652,0.0009355238434994569,0.44679858898163866,0.0,0.01661709430637382,10.47991357454699,0
20,0.99529773,0.0,0.009899652,0.009899652,0.0009799889852007988,0.4411603005213438,0.0,0.016665122115523127,10.938718986169057,0
21,0.99529755,0.0,0.009899652,0.009899652,0.001022225285124374,0.43553486093873117,0.0,0.016711685846284588,11.391987758239198,0
22,0.9952975,0.0,0.009899652,0.009899652,0.0010377107752907661,0.4299083793168861,0.0,0.016967367468047,11.839901215799422,0
23,0.9952975,0.0,0.009899652,0.009899652,0.0010160124241019065,0.42424702125508856,0.0,0.016753396659680488,12.281917646138293,0
24,0.99529725,0.0,0.009899652,0.009899652,0.0009853949638878104,0.4185303835182338,0.0,0.01741861016733012,12.718852034787744,0
25,0.99529755,0.0,0.009899652,0.009899652,0.0009583484503496759,0.4127600544171448,0.0,0.01693927852426342,13.149509716179502,0
26,0.9952976,0.0,0.009899652,0.009899652,0.0009709236300357088,0.4070073655681137,0.0,0.016183429509216425,13.573671434886867,0
27,0.99529743,0.0,0.009899652,0.009899652,0.0009968788594066937,0.4012238615796327,0.0,0.016316065503373025,13.99220824082928,0
28,0.99529666,0.0,0.009899652,0.009899652,0.0010169903758530756,0.39542722231565436,0.0,0.016637053303401796,14.40528950682419,0
29,0.99529725,0.0,0.009899652,0.009899652,3.529771840887313e-08,0.38931751092957434,0.0,0.003990562120363672,14.798597615171847,0
30,0.9952974,0.0,0.009899652,0.009899652,4.104924096211559e-08,0.38320121721022227,0.0,0.003919317214293922,15.185718190645604,0
31,0.9952974,0.0,0.009899652,0.009899652,3.624147481301667e-08,0.37707571656311334,0.0,0.003854813585969607,15.566648757036162,0
32,0.9952974,0.0,0.009899652,0.009899652,3.8060784723888256e-08,0.3709390312844111,0.0,0.0037904711205249985,15.941378297501883,0
33,0.9952974,0.0,0.009899652,0.009899652,3.923798296185899e-08,0.3647892717773147,0.0,0.0037260222694271306,16.309893630786608,0
34,0.9952974,0.0,0.009899652,0.009899652,4.0623896957025734e-08,0.3586244392592606,0.0,0.0036614413826015846,16.672179552052366,0
35,0.9952974,0.0,0.009899652,0.009899652,4.125786913643177e-08,0.3524424355039886,0.0,0.003596687024624751,17.02821871583885,0
36,0.9952974,0.0,0.009899652,0.009899652,4.288744658717592e-08,0.34624100329546875,0.0,0.0035317725421845315,17.37799153456395,0
37,0.9952974,0.0,0.009899652,0.009899652,4.4547414816597096e-08,0.34001776011095586,0.0,0.0034666565038176528,17.721475995726138,0
38,0.9952974,0.0,0.009899652,0.009899652,4.6352754944577234e-08,0.33377016932148457,0.0,0.003401311318264579,18.05864752271864,0
39,0.9952974,0.0,0.009899652,0.009899652,4.830724765434956e-08,0.32749552362723805,0.0,0.003335708926898874,18.389478803580026,0
40,0.9952974,0.0,0.009899652,0.009899652,5.043119039022044e-08,0.32119092678842415,0.0,0.003269819236755037,18.713939600036397,0
41,0.9952974,0.0,0.009899652,0.009899652,5.274590519145808e-08,0.31485327283426323,0.0,0.0032036099992060647,19.03199653561577,0
42,0.9952974,0.0,0.009899652,0.009899652,5.527671458505002e-08,0.30847922229707836,0.0,0.0031370465595466374,19.34361285974911,0
43,0.9952974,0.0,0.009899652,0.009899652,5.805332791389317e-08,0.30206517495247087,0.0,0.0030700915754836543,19.648748184330394,0
44,0.9952974,0.0,0.009899652,0.009899652,6.00710379117373e-08,0.2956072495960055,0.0,0.0030026911832386413,19.947358185180676,0
45,0.9952974,0.0,0.009899652,0.009899652,6.345772869822542e-08,0.289101215620634,0.0,0.002934826947676158,20.239394291206715,0
46,0.9952974,0.0,0.009899652,0.009899652,6.711826406717699e-08,0.28254248062736625,0.0,0.002866440835574247,20.524803279787918,0
47,0.9952974,0.0,0.009899652,0.009899652,7.120412953351064e-08,0.27592603318749614,0.0,0.002797479433114319,20.803526863612657,0
48,0.9952973,0.0,0.009899652,0.009899652,7.578382719417132e-08,0.2692463837485331,0.0,0.002727886084829122,21.075501209229845,0
49,0.9952973,0.0,0.009899652,0.009899652,8.094328314841451e-08,0.2624974963769476,0.0,0.002657598307586534,21.340656384857663,0
50,0.9952973,0.0,0.009899652,0.009899652,8.679164756052756e-08,0.2556727074113169,0.0,0.002586547170473716,21.598915726231102,0
51,0.9952973,0.0,0.009899652,0.009899652,9.346433028521949e-08,0.24876462821190312,0.0,0.0025146562630806407,21.850195104170417,0
52,0.9952973,0.0,0.009899652,0.009899652,1.010726898285715e-07,0.2417998358676602,0.0,0.0024422013574274338,22.094437242468196,0
53,0.9952974,0.0,0.009899652,0.009899652,1.0959372679173608e-07,0.23488557852211303,0.0,0.0023702944571151203,22.33169322504115,0
54,0.9952974,0.0,0.009899652,0.009899652,1.1919968762859771e-07,0.22802185253838547,0.0,0.0022989352576363994,22.562014132036857,0
55,0.9952974,0.0,0.009899652,0.009899652,1.3007055083461892e-07,0.2212086854088634,0.0,0.002228123819248606,22.78545107133552,0
56,0.9952974,0.0,0.009899652,0.009899652,1.424291504507984e-07,0.21444614018361105,0.0,0.002157860576249465,23.00205521452453,0
57,0.9952974,0.0,0.009899652,0.009899652,1.56546812612666e-07,0.2077343207270227,0.0,0.0020881464058591036,23.211877838204224,0
58,0.9952974,0.0,0.009899652,0.009899652,1.7130635195169953e-07,0.20107338511599912,0.0,0.002018975083663557,23.41497036971024,0
59,0.9952974,0.0,0.009899652,0.009899652,1.9006138443519358e-07,0.19446353081750894,0.0,0.0019503627838530694,23.611384453372985,0
60,0.9952974,0.0,0.009899652,0.009899652,2.115141415380875e-07,0.18790502682129914,0.0,0.0018823062725217298,23.801171997980948,0
61,0.9952974,0.0,0.009899652,0.009899652,2.3667352274043738e-07,0.1813982169277718,0.0,0.0018148081825701146,23.984385259764814,0
