Episode 1, Reward: -2002355.50
Episode 2, Reward: -2105817.25
Episode 3, Reward: -2025986.12
Episode 4, Reward: -2021586.75
Episode 5, Reward: -1827449.62
Episode 6, Reward: -1863988.88
Episode 7, Reward: -1844779.38
Episode 8, Reward: -1991123.00
Episode 9, Reward: -1782377.75
Episode 10, Reward: -1548550.88
Episode 11, Reward: -1353161.50
Episode 12, Reward: -1151423.25
Episode 13, Reward: -1152771.75
Episode 14, Reward: -984252.31
Episode 15, Reward: -820557.88
Episode 16, Reward: -483848.88
Episode 17, Reward: -453230.59
Episode 18, Reward: -422541.19
Episode 19, Reward: -401082.34
Episode 20, Reward: -366045.56
Episode 21, Reward: -250910.06
Episode 22, Reward: -179663.19
Episode 23, Reward: -140239.11
Episode 24, Reward: -112741.14
Episode 25, Reward: -106925.25
Episode 26, Reward: -99010.19
Episode 27, Reward: -85469.92
Episode 28, Reward: -75748.00
Episode 29, Reward: -62503.16
Episode 30, Reward: -48508.95
Episode 31, Reward: -38828.80
Episode 32, Reward: -28733.72
Episode 33, Reward: -24454.13
Episode 34, Reward: -22275.41
Episode 35, Reward: -20134.82
Episode 36, Reward: -16530.12
Episode 37, Reward: -12737.00
Episode 38, Reward: -12173.31
Episode 39, Reward: -9318.15
Episode 40, Reward: -8004.56
Episode 41, Reward: -7405.84
Episode 42, Reward: -6690.89
Episode 43, Reward: -6313.70
Episode 44, Reward: -6276.50
Episode 45, Reward: -6349.26
Episode 46, Reward: -5747.70
Episode 47, Reward: -5821.09
Episode 48, Reward: -4958.21
Episode 49, Reward: -4883.17
Episode 50, Reward: -4209.87
Episode 51, Reward: -3913.44
Episode 52, Reward: -3316.25
Episode 53, Reward: -2715.18
Episode 54, Reward: -1965.68
Episode 55, Reward: -1366.39
Episode 56, Reward: -912.73
Episode 57, Reward: -911.14
Episode 58, Reward: -831.97
Episode 59, Reward: -903.15
Episode 60, Reward: -747.02
Episode 61, Reward: -746.03
Episode 62, Reward: -516.45
Episode 63, Reward: -514.08
Episode 64, Reward: -440.37
Episode 65, Reward: -363.40
Episode 66, Reward: -135.66
Episode 67, Reward: 93.53
Episode 68, Reward: 93.63
Episode 69, Reward: 19.73
Episode 70, Reward: -317.81
Episode 71, Reward: -542.99
Episode 72, Reward: -538.45
Episode 73, Reward: -384.54
Episode 74, Reward: -685.07
Episode 75, Reward: -683.58
Episode 76, Reward: -456.26
Episode 77, Reward: -604.73
Episode 78, Reward: -602.87
Episode 79, Reward: -373.17
Episode 80, Reward: -596.44
Episode 81, Reward: -670.30
Episode 82, Reward: -443.64
Episode 83, Reward: -479.64
Episode 84, Reward: -478.39
Episode 85, Reward: -174.79
Episode 86, Reward: -59.85
Episode 87, Reward: -95.43
Episode 88, Reward: -95.93
Episode 89, Reward: 53.27
Episode 90, Reward: -24.56
Episode 91, Reward: 7.56
Episode 92, Reward: 83.83
Episode 93, Reward: 5.14
Episode 94, Reward: 226.31
Episode 95, Reward: 258.63
Episode 96, Reward: 409.04
Episode 97, Reward: 31.39
Episode 98, Reward: 107.10
Episode 99, Reward: -113.18
Episode 100, Reward: -193.52
Episode 101, Reward: -41.13
Episode 102, Reward: -41.76
Episode 103, Reward: 35.85
Episode 104, Reward: 184.92
Episode 105, Reward: 482.77
Episode 106, Reward: 407.09
Episode 107, Reward: 628.46
Episode 108, Reward: 704.08
Episode 109, Reward: 548.31
Episode 110, Reward: 468.62
Episode 111, Reward: 538.37
Episode 112, Reward: 384.98
Episode 113, Reward: 309.29
Episode 114, Reward: 457.46
Episode 115, Reward: 529.90
Episode 116, Reward: 379.44
Episode 117, Reward: 532.36
Episode 118, Reward: 85.92
Episode 119, Reward: -137.05
Episode 120, Reward: -64.56
Episode 121, Reward: -62.98
Episode 122, Reward: -287.94
Episode 123, Reward: -285.23
Episode 124, Reward: -211.26
Episode 125, Reward: -286.97
Episode 126, Reward: 312.84
Episode 127, Reward: 464.50
Episode 128, Reward: 392.66
